code,category,value,areaName
W92000004,pop,3107494,Wales
E12000001,pop,2647013,North East
E12000002,pop,7417397,North West
E12000003,pop,5480774,Yorkshire and The Humber
E12000004,pop,4880054,East Midlands
E12000005,pop,5950757,West Midlands
E12000006,pop,6335074,East of England
E12000007,pop,8799728,London
E12000008,pop,9278065,South East
E12000009,pop,5701186,South West
W92000004,pop,3107494,Wales
