code,category,value,areaName
E12000001,NSAmerican,0,North East
E12000001,EnglishCreole,0,North East
E12000001,otherCreole,17,North East
E12000001,Amharic,323,North East
E12000001,Tigrinya,872,North East
E12000001,Somali,127,North East
E12000001,Krio,12,North East
E12000001,Akan,61,North East
E12000001,Yoruba,194,North East
E12000001,Igbo,268,North East
E12000001,Swahili,148,North East
E12000001,Luganda,19,North East
E12000001,Lingala,116,North East
E12000001,Shona,283,North East
E12000001,Afrikaans,120,North East
E12000001,otherNigerian,132,North East
E12000001,otherWAfrican,173,North East
E12000001,otherAfrican,404,North East
E12000001,BSL,1034,North East
E12000001,otherSignLang,47,North East
E12000001,otherSignComm,136,North East
E12000001,other,109,North East
E12000002,N/A,239026,North West
E12000002,English,6697979,North West
E12000002,Welsh,1899,North West
E12000002,IrishGaelic,121,North West
E12000002,ScottishGaelic,29,North West
E12000002,ManxGaelic,2,North West
E12000002,Gaelic,29,North West
E12000002,Cornish,2,North West
E12000002,Scots,107,North West
E12000002,UlsterScots,1,North West
E12000002,RomanyEnghlish,126,North West
E12000002,IrishTraveller,4,North West
E12000002,French,6588,North West
E12000002,Portuguese,18814,North West
E12000002,Spanish,15525,North West
E12000002,Italian,11524,North West
E12000002,German,2737,North West
E12000002,Polish,65277,North West
E12000002,Slovak,4938,North West
E12000002,Czech,4350,North West
E12000002,Romanian,28982,North West
E12000002,Lithuanian,6169,North West
E12000002,Latvian,3616,North West
E12000002,Hungarian,8623,North West
E12000002,Bulgarian,7732,North West
E12000002,Greek,5262,North West
E12000002,Dutch,1381,North West
E12000002,Swedish,617,North West
E12000002,Danish,341,North West
E12000002,Finnish,289,North West
E12000002,Estonian,237,North West
E12000002,3Slovenian1,143,North West
E12000002,3Maltese2,121,North West
E12000002,otherEU,378,North West
E12000002,Albanian,1987,North West
E12000002,Ukrainian,808,North West
E12000002,otherEEuropean,39,North West
E12000002,otherNEuropean,656,North West
E12000002,BosCroatSerbMont,830,North West
E12000002,Romani,17,North West
E12000002,Yiddish,1118,North West
E12000002,Russian,5031,North West
E12000002,Turkish,4640,North West
E12000002,Arabic,30741,North West
E12000002,Hebrew,686,North West
E12000002,Kurdish,10592,North West
E12000002,Farsi,11028,North West
E12000002,Pashto,5327,North West
E12000002,otherWCAsian,665,North West
E12000002,Urdu,59429,North West
E12000002,Hindi,3322,North West
E12000002,Panjabi,26471,North West
E12000002,Pahari,2555,North West
E12000002,Bengali,17813,North West
E12000002,Gujarati,16153,North West
E12000002,Marathi,748,North West
E12000002,Telugu,2370,North West
E12000002,Tamil,5393,North West
E12000002,Malayalam,8460,North West
E12000002,Sinhala,891,North West
E12000002,Nepalese,1348,North West
E12000002,otherSAsian,2726,North West
E12000002,Mandarin,3406,North West
E12000002,Cantonese,8933,North West
E12000002,otherChinese,15473,North West
E12000002,Japanese,807,North West
E12000002,Korean,496,North West
E12000002,Vietnamese,1595,North West
E12000002,Thai,2377,North West
E12000002,Malay,965,North West
E12000002,Tagalog,3346,North West
E12000002,otherEAsian,1450,North West
E12000002,Oceanic,38,North West
E12000002,NSAmerican,4,North West
E12000002,EnglishCreole,9,North West
E12000002,otherCreole,85,North West
E12000002,Amharic,823,North West
E12000002,Tigrinya,3109,North West
E12000002,Somali,4626,North West
E12000002,Krio,41,North West
E12000002,Akan,1022,North West
E12000002,Yoruba,1098,North West
E12000002,Igbo,1269,North West
E12000002,Swahili,1539,North West
E12000002,Luganda,115,North West
E12000002,Lingala,459,North West
E12000002,Shona,977,North West
E12000002,Afrikaans,319,North West
E12000002,otherNigerian,583,North West
E12000002,otherWAfrican,1127,North West
E12000002,otherAfrican,2497,North West
E12000002,BSL,2860,North West
E12000002,otherSignLang,209,North West
E12000002,otherSignComm,297,North West
E12000002,other,636,North West
E12000003,N/A,174907,Yorkshire and The Humber
E12000003,English,4943714,Yorkshire and The Humber
E12000003,Welsh,422,Yorkshire and The Humber
E12000003,IrishGaelic,49,Yorkshire and The Humber
E12000003,ScottishGaelic,25,Yorkshire and The Humber
E12000003,ManxGaelic,0,Yorkshire and The Humber
E12000003,Gaelic,16,Yorkshire and The Humber
E12000003,Cornish,1,Yorkshire and The Humber
E12000003,Scots,67,Yorkshire and The Humber
E12000003,UlsterScots,0,Yorkshire and The Humber
E12000003,RomanyEnghlish,120,Yorkshire and The Humber
