code,category,value,areaName,TTWA2011
W92000004,popDensity,149.9,Wales,
E12000001,popDensity,308.5,North East,
E12000002,popDensity,525.8,North West,
E12000003,popDensity,355.8,Yorkshire and The Humber,
E12000004,popDensity,312.4,East Midlands,
E12000005,popDensity,457.8,West Midlands,
E12000006,popDensity,331.4,East of England,
E12000007,popDensity,5597.6,London,
E12000008,popDensity,486.5,South East,
E12000009,popDensity,239.2,South West,
W92000004,popDensity,149.9,Wales,
