code,region,household_size,household_size_count,total_population,percentage
E12000008,South East,5,172459,9278065,1.8587819766298252
E12000008,South East,6,51445,9278065,0.5544798403546429
E12000008,South East,7,15687,9278065,0.1690762028504866
E12000008,South East,8,9321,9278065,0.10046275812898486
E12000009,South West,0,0,5701186,0.0
E12000009,South West,1,741323,5701186,13.002961138261407
E12000009,South West,2,910536,5701186,15.970992702220205
E12000009,South West,3,364516,5701186,6.393687208240531
E12000009,South West,4,298067,5701186,5.228157790326434
E12000009,South West,5,93966,5701186,1.6481833779848614
E12000009,South West,6,27509,5701186,0.4825136383903279
E12000009,South West,7,8116,5701186,0.1423563448026428
E12000009,South West,8,4848,5701186,0.08503493834440763
